SCIENTIFIC_NAME,COMMON_NAME,TAXON_ID,SPECIES_CODE,CATEGORY,TAXON_ORDER,COM_NAME_CODES,SCI_NAME_CODES,BANDING_CODES
Anthus nilghiriensis,Nilgiri Pipit,TC010398,nilpip1,species,27628.0,NIPI,ANNI,
Anthus sylvanus,Upland Pipit,TC010399,uplpip1,species,27629.0,UPPI,ANSY,
Anthus berthelotii,Berthelot's Pipit,TC010400,berpip1,species,27630.0,BEPI,ANBE,
Anthus melindae,Malindi Pipit,TC010401,malpip1,species,27633.0,MAPI,ANME,
Anthus lineiventris,Striped Pipit,TC010402,strpip1,species,27636.0,STPI,ANLI,
Anthus crenatus,Yellow-tufted Pipit,TC010403,yetpip1,species,27639.0,ARPI YTPI,ANCR,
Anthus gutturalis,Alpine Pipit,TC010404,alppip1,species,27640.0,ALPI,ANGU,
Anthus pratensis,Meadow Pipit,TC010405,meapip1,species,27644.0,MEPI,ANPR,
Anthus roseatus,Rosy Pipit,TC010406,rospip1,species,27647.0,ROPI,ANRO,
Anthus trivialis,Tree Pipit,TC010407,trepip,species,27648.0,,ANTR,TRPI
Anthus hodgsoni,Olive-backed Pipit,TC010408,olbpip,species,27652.0,,ANHO,OBPI
Anthus gustavi,Pechora Pipit,TC010409,pecpip,species,27655.0,,ANGU,PEPI
Anthus cervinus,Red-throated Pipit,TC010412,retpip,species,27660.0,,ANCE,RTPI
Anthus spinoletta,Water Pipit,TC010413,watpip1,species,27661.0,WAPI,ANSP,
Anthus petrosus,Rock Pipit,TC010414,rocpip1,species,27665.5,ROPI ERPI,ANPE,
Anthus rubescens,American Pipit,TC010415,amepip,species,27669.0,BBPI,ANRU,AMPI
Anthus spragueii,Sprague's Pipit,TC010419,sprpip,species,27675.0,,ANSP,SPPI
Anthus lutescens,Yellowish Pipit,TC010420,yelpip1,species,27676.0,,ANLU,YEPI
Anthus furcatus,Short-billed Pipit,TC010421,shbpip1,species,27680.0,SBPI,ANFU,
Anthus chacoensis,Pampas Pipit,TC010422,chapip1,species,27683.0,PAPI,ANCH,
Anthus correndera,Correndera Pipit,TC010423,corpip1,species,27684.0,COPI,ANCO,
Anthus antarcticus,South Georgia Pipit,TC010426,sogpip1,species,27691.0,SGPI,ANAN,
Anthus nattereri,Ochre-breasted Pipit,TC010427,ocbpip1,species,27692.0,OBPI,ANNA,
Anthus hellmayri,Hellmayr's Pipit,TC010428,helpip1,species,27693.0,HEPI,ANHE,
Anthus bogotensis,Paramo Pipit,TC010429,parpip1,species,27697.0,PAPI,ANBO,
Anthus brachyurus,Short-tailed Pipit,TC010430,shtpip1,species,27702.0,STPI,ANBR,
Anthus caffer,Bush Pipit,TC010431,buspip1,species,27705.0,BUPI,ANCA,
Anthus sokokensis,Sokoke Pipit,TC010432,sokpip1,species,27711.0,SOPI,ANSO,
Tmetothylacus tenellus,Golden Pipit,TC010434,golpip1,species,27713.0,GOPI,TMTE,
Hemimacronyx chloris,Yellow-breasted Pipit,TC010435,yebpip2,species,27714.0,YBPI,HECH,
Hemimacronyx sharpei,Sharpe's Longclaw,TC010436,shalon1,species,27715.0,SHLO,HESH,
Macronyx capensis,Orange-throated Longclaw,TC010437,ortlon1,species,27716.0,CALO OTLO,MACA,
Macronyx croceus,Yellow-throated Longclaw,TC010438,yetlon1,species,27720.0,YTLO,MACR,
Macronyx fuelleborni,Fuelleborn's Longclaw,TC010439,fuelon2,species,27721.0,FÜLO FULO,MAFU,
Macronyx flavicollis,Abyssinian Longclaw,TC010440,abylon1,species,27724.0,ABLO,MAFL,
Macronyx aurantiigula,Pangani Longclaw,TC010441,panlon1,species,27725.0,PALO,MAAU,
Macronyx ameliae,Rosy-throated Longclaw,TC010442,rotlon1,species,27726.0,RTLO,MAAM,
Macronyx grimwoodi,Grimwood's Longclaw,TC010443,grilon1,species,27730.0,GRLO,MAGR,
Urocynchramus pylzowi,Przevalski's Rosefinch,TC010446,przros1,species,27733.0,PRRO PRFI,URPY,
Elachura formosa,Spotted Elachura,TC009715,spwbab1,species,27733.5,SPEL,ELFO,
Bombycilla garrulus,Bohemian Waxwing,TC010447,bohwax,species,27734.0,WAXW,BOGA,BOWA
Bombycilla cedrorum,Cedar Waxwing,TC010448,cedwax,species,27738.0,CEWA,BOCE,CEDW
