SCIENTIFIC_NAME,COMMON_NAME,TAXON_ID,SPECIES_CODE,CATEGORY,TAXON_ORDER,COM_NAME_CODES,SCI_NAME_CODES,BANDING_CODES
Strix nebulosa,Great Gray Owl,TC003576,grgowl,species,7547.0,,STNE,GGOW
Strix woodfordii,African Wood-Owl,TC003577,afwowl1,species,7550.0,AWOW AFWO,STWO,
Asio otus,Long-eared Owl,TC003578,loeowl,species,7555.0,,ASOT,LEOW
Asio abyssinicus,African Long-eared Owl,TC003579,aleowl1,species,7560.0,ABOW ALEO,ASAB,
Asio madagascariensis,Madagascar Long-eared Owl,TC003580,mleowl1,species,7563.0,MAOW MLEO,ASMA,
Asio stygius,Stygian Owl,TC003581,styowl1,species,7564.0,,ASST,STOW
Asio flammeus,Short-eared Owl,TC003582,sheowl,species,7571.0,,ASFL,SEOW
Asio capensis,Marsh Owl,TC003588,marowl2,species,7584.0,MAOW,ASCA,
Nesasio solomonensis,Fearful Owl,TC003589,feaowl1,species,7588.0,FEOW,NESO,
Pseudoscops clamator,Striped Owl,TC003590,strowl1,species,7589.0,STOW,PSCL,STRO
Pseudoscops grammicus,Jamaican Owl,TC003591,jamowl1,species,7594.0,,PSGR,JAOW
Aegolius funereus,Boreal Owl,TC003592,borowl,species,7595.0,TEOW,AEFU,BOOW
Aegolius acadicus,Northern Saw-whet Owl,TC003593,nswowl,species,7602.0,,AEAC,NSWO
Aegolius ridgwayi,Unspotted Saw-whet Owl,TC003594,uswowl1,species,7605.0,,AERI,USWO
Aegolius harrisii,Buff-fronted Owl,TC003595,bufowl1,species,7609.0,BFOW,AEHA,
Ninox rufa,Rufous Owl,TC003596,rufowl2,species,7613.0,RUOW,NIRU,
Ninox strenua,Powerful Owl,TC003597,powowl1,species,7618.0,POOW,NIST,
Ninox connivens,Barking Owl,TC003598,barowl1,species,7619.0,BAOW,NICO,
Ninox rudolfi,Sumba Boobook,TC003599,sumboo1,species,7624.0,SUBO,NIRU,
Ninox affinis,Andaman Boobook,TC003600,andhao1,species,7625.0,AHOW ANHO ANBO,NIAF,
Ninox novaeseelandiae,Southern Boobook,TC003601,souboo2,species,7625.5,SOBO,NINO,
Ninox sumbaensis,Least Boobook,TC003604,lishao1,species,7642.0,LEBO LSHO,NISU,
Ninox scutulata,Brown Boobook,TC003605,brnhao1,species,7643.0,BRBO BHOW BRHO,NISC,
Ninox obscura,Hume's Boobook,TC012327,brnhao3,species,7651.5,HUBO HHOW HUHO,NIOB,
Ninox japonica,Northern Boobook,TC003606,norboo1,species,7652.0,NOBO,NIJA,NOBB
Ninox randi,Chocolate Boobook,TC003607,choboo1,species,7655.0,CHBO,NIRA,
Ninox superciliaris,White-browed Owl,TC003608,whbowl1,species,7656.0,WBOW WBHO,NISU,
Ninox philippensis,Luzon Boobook,TC003609,phihao1,species,7657.0,LUHO LHOW LUBO,NIPH,
Ninox spilocephala,Mindanao Boobook,TC013485,minboo1,species,7659.5,MHOW MIBO MIHO,NISP,
Ninox mindorensis,Mindoro Boobook,TC013486,minboo2,species,7660.0,MHOW MIBO MIHO,NIMI,
Ninox spilonotus,Romblon Boobook,TC013487,romboo1,species,7661.0,ROBO RHOW ROHO,NISP,
Ninox rumseyi,Cebu Boobook,TC013488,cebboo1,species,7663.0,CEBO CEHO CHOW,NIRU,
Ninox leventisi,Camiguin Boobook,TC013489,camboo1,species,7663.5,CABO CHOW CAHO,NILE,
Ninox reyi,Sulu Boobook,TC013490,sulboo1,species,7664.0,SHOW SUHO SUBO,NIRE,
Ninox ochracea,Ochre-bellied Boobook,TC003610,ocbhao1,species,7665.0,OBBO,NIOC,
Ninox burhani,Togian Boobook,TC003611,toghao1,species,7666.0,TOBO,NIBU,
Ninox ios,Cinnabar Boobook,TC003612,cinhao1,species,7667.0,CIBO,NIIO,
Ninox hypogramma,Halmahera Boobook,TC012644,molhao3,species,7669.0,HABO,NIHY,
Ninox forbesi,Tanimbar Boobook,TC012643,molhao2,species,7670.0,TABO,NIFO,
Ninox squamipila,Hantu Boobook,TC012645,molhao4,species,7670.5,HABO,NISQ,
Ninox natalis,Christmas Island Boobook,TC003614,chihao1,species,7673.0,CIBO CHBO,NINA,
Ninox theomacha,Papuan Boobook,TC003615,junhao1,species,7674.0,PABO,NITH,
Ninox meeki,Manus Boobook,TC003616,manhao1,species,7679.0,MABO,NIME,
Ninox punctulata,Speckled Boobook,TC003617,spehao1,species,7680.0,SPBO,NIPU,
Ninox variegata,Bismarck Boobook,TC003618,bishao1,species,7681.0,NIBO BIBO,NIVA,
Ninox odiosa,New Britain Boobook,TC003619,nebhao1,species,7684.0,NBBO,NIOD,
Ninox jacquinoti,Solomons Boobook,TC003620,solhao1,species,7685.0,SOBO,NIJA,
Uroglaux dimorpha,Papuan Owl,TC003621,paphao1,species,7693.0,PHOW PAHO PAOW,URDI,
Sceloglaux albifacies,Laughing Owl,TC003622,lauowl1,species,7694.0,LAOW,SCAL,
Aegotheles savesi,New Caledonian Owlet-nightjar,TC003630,nconig1,species,7696.0,NCON,AESA,
Aegotheles insignis,Feline Owlet-nightjar,TC003624,feonig1,species,7697.0,FEON FONI,AEIN,
Aegotheles tatei,Starry Owlet-nightjar,TC003625,spaown1,species,7698.0,SONI STON,AETA,
Aegotheles wallacii,Wallace's Owlet-nightjar,TC003627,waonig1,species,7699.0,WAON WONI,AEWA,
Aegotheles archboldi,Archbold's Owlet-nightjar,TC003628,aronig1,species,7705.0,ARON AONI,AEAR,
Aegotheles albertisi,Mountain Owlet-nightjar,TC003629,moonig1,species,7706.0,MOON MONI,AEAL,
Aegotheles crinifrons,Moluccan Owlet-nightjar,TC003626,molown1,species,7707.0,MOON MONI,AECR,
Aegotheles cristatus,Australian Owlet-nightjar,TC003632,auonig1,species,7709.5,AONI AUON,AECR,
Aegotheles affinis,Vogelkop Owlet-nightjar,TC012259,barown2,species,7711.5,VOON VONI,AEAF,
Aegotheles bennettii,Barred Owlet-nightjar,TC012258,barown1,species,7713.0,BAON BONI,AEBE,
Podargus strigoides,Tawny Frogmouth,TC003633,tawfro1,species,7718.0,TAFR,POST,
Podargus ocellatus,Marbled Frogmouth,TC003634,marfro1,species,7722.0,MAFR,POOC,
Podargus papuensis,Papuan Frogmouth,TC003637,papfro1,species,7728.0,PAFR,POPA,
Rigidipenna inexpectata,Solomons Frogmouth,TC003638,soifro1,species,7729.0,SOFR,RIIN,
Batrachostomus auritus,Large Frogmouth,TC003639,larfro1,species,7730.0,LAFR,BAAU,
Batrachostomus harterti,Dulit Frogmouth,TC003640,dulfro1,species,7731.0,DUFR,BAHA,
Batrachostomus septimus,Philippine Frogmouth,TC003641,phifro1,species,7732.0,PHFR,BASE,
Batrachostomus stellatus,Gould's Frogmouth,TC003642,goufro1,species,7736.0,GOFR,BAST,
Batrachostomus moniliger,Sri Lanka Frogmouth,TC003643,ceyfro1,species,7737.0,SLFR,BAMO,
Batrachostomus hodgsoni,Hodgson's Frogmouth,TC003644,hodfro1,species,7738.0,HOFR,BAHO,
Batrachostomus poliolophus,Short-tailed Frogmouth,TC003645,shtfro1,species,7739.0,STFR,BAPO,
Batrachostomus javensis,Javan Frogmouth,TC012575,javfro3,species,7742.0,JAFR,BAJA,
Batrachostomus affinis,Blyth's Frogmouth,TC012574,javfro2,species,7742.5,BLFR,BAAF,
Batrachostomus chaseni,Palawan Frogmouth,TC013961,palfro1,species,7745.0,PAFR,BACH,
Batrachostomus cornutus,Sunda Frogmouth,TC003647,sunfro1,species,7746.0,SUFR,BACO,
Eurostopodus argus,Spotted Nightjar,TC003660,sponig1,species,7748.01,SPNI,EUAR,
Eurostopodus nigripennis,Solomons Nightjar,TC013962,solnig1,species,7748.03,SONI,EUNI,
Eurostopodus exul,New Caledonian Nightjar,TC013963,necnig2,species,7748.04,NCNI,EUEX,
Eurostopodus mystacalis,White-throated Nightjar,TC013964,whtnig3,species,7748.05,WTNI,EUMY,
Eurostopodus diabolicus,Diabolical Nightjar,TC003662,dianig1,species,7748.06,SANI DINI,EUDI,
Eurostopodus papuensis,Papuan Nightjar,TC003663,papnig1,species,7748.07,PANI,EUPA,
Eurostopodus archboldi,Archbold's Nightjar,TC003664,arcnig1,species,7748.08,ARNI,EUAR,
Lyncornis temminckii,Malaysian Nightjar,TC003665,malnig1,species,7748.09,MENI MANI,LYTE,
Lyncornis macrotis,Great Eared-Nightjar,TC003666,grenig1,species,7748.1,GENI GREN,LYMA,
Gactornis enarratus,Collared Nightjar,TC003740,colnig1,species,7748.16,CONI,GAEN,
Chordeiles nacunda,Nacunda Nighthawk,TC003667,nacnig1,species,7756.2,NANI,CHNA,
Chordeiles pusillus,Least Nighthawk,TC003652,leanig1,species,7757.0,LENI,CHPU,
Chordeiles rupestris,Sand-colored Nighthawk,TC003653,sacnig1,species,7764.0,SCNI,CHRU,
Chordeiles acutipennis,Lesser Nighthawk,TC003654,lesnig,species,7767.0,,CHAC,LENI
Chordeiles minor,Common Nighthawk,TC003655,comnig,species,7775.0,,CHMI,CONI
Chordeiles gundlachii,Antillean Nighthawk,TC003656,antnig,species,7784.0,,CHGU,ANNI
Lurocalis semitorquatus,Short-tailed Nighthawk,TC003648,shtnig1,species,7787.1,STNI,LUSE,SHTN
Lurocalis rufiventris,Rufous-bellied Nighthawk,TC003651,rubnig1,species,7787.8,RBNI,LURU,
Nyctiprogne leucopyga,Band-tailed Nighthawk,TC003658,batnig1,species,7788.0,BTNI,NYLE,
Nyctiprogne vielliardi,Bahian Nighthawk,TC003659,bahnig1,species,7794.0,PTNI BANI,NYVI,
Nyctipolus nigrescens,Blackish Nightjar,TC003704,blanig1,species,7795.0,BLNI,NYNI,
Nyctipolus hirundinaceus,Pygmy Nightjar,TC003708,pygnig1,species,7796.0,PYNI,NYHI,
Systellura longirostris,Band-winged Nightjar,TC003693,bawnig1,species,7800.0,BWNI,SYLO,
Nyctidromus albicollis,Common Pauraque,TC003668,compau,species,7813.0,PAUR,NYAL,COPA
Nyctidromus anthonyi,Scrub Nightjar,TC003702,scrnig1,species,7820.5,ANNI SCNI,NYAN,
Eleothreptus candicans,White-winged Nightjar,TC003698,whwnig1,species,7821.0,WWNI,ELCA,
Eleothreptus anomalus,Sickle-winged Nightjar,TC003753,siwnig1,species,7821.5,SWNI,ELAN,
Uropsalis segmentata,Swallow-tailed Nightjar,TC003750,swtnig1,species,7822.0,STNI,URSE,
Uropsalis lyra,Lyre-tailed Nightjar,TC003751,lytnig1,species,7825.0,LTNI,URLY,
Setopagis heterura,Todd's Nightjar,TC003700,samnig1,species,7829.0,TONI,SEHE,
Setopagis parvula,Little Nightjar,TC003701,litnig1,species,7830.0,LINI,SEPA,
Setopagis whitelyi,Roraiman Nightjar,TC003705,rornig1,species,7831.0,RONI,SEWH,
Setopagis maculosa,Cayenne Nightjar,TC003703,caynig1,species,7832.0,CANI,SEMA,
Hydropsalis cayennensis,White-tailed Nightjar,TC003697,whtnig1,species,7833.0,,HYCA,WTNI
Hydropsalis maculicaudus,Spot-tailed Nightjar,TC003699,sptnig1,species,7840.0,STNI,HYMA,SPTN
Hydropsalis climacocerca,Ladder-tailed Nightjar,TC003748,latnig1,species,7841.0,LTNI,HYCL,
Hydropsalis torquata,Scissor-tailed Nightjar,TC003749,sctnig2,species,7847.0,STNI,HYTO,
Macropsalis forcipata,Long-trained Nightjar,TC003752,lotnig2,species,7851.0,LTNI,MAFO,
Siphonorhis americana,Jamaican Pauraque,TC003670,jampau,species,7852.0,JAPO,SIAM,JAPA
Siphonorhis brewsteri,Least Pauraque,TC003671,leapau1,species,7853.0,LEPO,SIBR,LEPA
Nyctiphrynus mcleodii,Eared Poorwill,TC003672,earpoo1,species,7854.0,,NYMC,EAPO
Nyctiphrynus yucatanicus,Yucatan Poorwill,TC003673,yucpoo1,species,7857.0,,NYYU,YUPO
Nyctiphrynus ocellatus,Ocellated Poorwill,TC003674,ocepoo1,species,7859.0,,NYOC,OCPO
Nyctiphrynus rosenbergi,Choco Poorwill,TC003675,chopoo1,species,7861.0,CHPO,NYRO,
Phalaenoptilus nuttallii,Common Poorwill,TC003669,compoo,species,7862.0,,PHNU,COPO
Antrostomus carolinensis,Chuck-will's-widow,TC003676,chwwid,species,7867.5,CHWW,ANCA,CWWI
Antrostomus rufus,Rufous Nightjar,TC003677,rufnig1,species,7867.6,,ANRU,RUNI
Antrostomus cubanensis,Greater Antillean Nightjar,TC003681,granig1,species,7900.5,CUNI,ANCU,GANI
Antrostomus salvini,Tawny-collared Nightjar,TC003684,tacnig1,species,7904.0,,ANSA,TCNI
Antrostomus badius,Yucatan Nightjar,TC003685,yucnig1,species,7905.0,,ANBA,YUNI
Antrostomus sericocaudatus,Silky-tailed Nightjar,TC003686,sitnig1,species,7906.0,STNI,ANSE,
Antrostomus ridgwayi,Buff-collared Nightjar,TC003687,bucnig,species,7909.0,,ANRI,BCNI
Antrostomus vociferus,Eastern Whip-poor-will,TC003689,whip-p1,species,7912.0,,ANVO,EWPW
Antrostomus saturatus,Dusky Nightjar,TC003692,dusnig1,species,7912.5,,ANSA,DUNI
Antrostomus arizonae,Mexican Whip-poor-will,TC003690,souwpw1,species,7913.0,,ANAR,MWPW
Antrostomus noctitherus,Puerto Rican Nightjar,TC003691,purnig1,species,7920.0,,ANNO,PRNI
Caprimulgus vexillarius,Pennant-winged Nightjar,TC003746,pewnig1,species,7922.0,PWNI,CAVE,
Caprimulgus longipennis,Standard-winged Nightjar,TC003747,stwnig1,species,7923.0,SWNI,CALO,
Caprimulgus binotatus,Brown Nightjar,TC003706,bronig1,species,7924.0,BRNI,CABI,
Caprimulgus ruficollis,Red-necked Nightjar,TC003707,rennig1,species,7925.0,RNNI,CARU,
Caprimulgus indicus,Jungle Nightjar,TC012533,grynig2,species,7929.0,JUNI,CAIN,
Caprimulgus jotaka,Gray Nightjar,TC012532,grynig1,species,7932.0,,CAJO,GRNI
Caprimulgus phalaena,Palau Nightjar,TC013966,palnig1,species,7935.0,PANI,CAPH,
Caprimulgus europaeus,Eurasian Nightjar,TC003710,eurnig1,species,7936.0,EUNI,CAEU,
Caprimulgus fraenatus,Sombre Nightjar,TC003711,somnig1,species,7944.0,SONI,CAFR,
Caprimulgus rufigena,Rufous-cheeked Nightjar,TC003712,rucnig1,species,7945.0,RCNI,CARU,
Caprimulgus aegyptius,Egyptian Nightjar,TC003713,egynig1,species,7948.0,EGNI,CAAE,
Caprimulgus nubicus,Nubian Nightjar,TC003714,nubnig1,species,7951.0,NUNI,CANU,
Caprimulgus mahrattensis,Sykes's Nightjar,TC003715,syknig1,species,7956.0,SYNI,CAMA,
Caprimulgus centralasicus,Vaurie's Nightjar,TC003716,vaunig1,species,7957.0,VANI,CACE,
Caprimulgus eximius,Golden Nightjar,TC003717,golnig1,species,7958.0,GONI,CAEX,
Caprimulgus macrurus,Large-tailed Nightjar,TC003718,latnig2,species,7961.0,LTNI,CAMA,
Caprimulgus andamanicus,Andaman Nightjar,TC003719,andnig1,species,7968.0,ANNI,CAAN,
Caprimulgus meesi,Mees's Nightjar,TC003720,meenig1,species,7969.0,MENI,CAME,
Caprimulgus atripennis,Jerdon's Nightjar,TC003721,jernig1,species,7970.0,JENI,CAAT,
Caprimulgus manillensis,Philippine Nightjar,TC003722,phinig1,species,7973.0,PHNI,CAMA,
Caprimulgus celebensis,Sulawesi Nightjar,TC003723,sulnig1,species,7974.0,SUNI,CACE,
Caprimulgus donaldsoni,Donaldson-Smith's Nightjar,TC003724,dosnig1,species,7977.0,DSNI,CADO,
Caprimulgus nigriscapularis,Black-shouldered Nightjar,TC003725,bksnig1,species,7978.0,BSNI,CANI,
Caprimulgus pectoralis,Fiery-necked Nightjar,TC003726,finnig1,species,7979.0,FNNI,CAPE,
Caprimulgus poliocephalus,Abyssinian Nightjar,TC003727,abynig1,species,7984.0,MONI ABNI,CAPO,
Caprimulgus ruwenzorii,Montane Nightjar,TC003728,monnig2,species,7985.0,RUNI MONI,CARU,
Caprimulgus asiaticus,Indian Nightjar,TC003729,indnig1,species,7988.0,INNI,CAAS,
Caprimulgus madagascariensis,Madagascar Nightjar,TC003730,madnig1,species,7993.0,MANI,CAMA,
Caprimulgus natalensis,Swamp Nightjar,TC003731,swanig1,species,7996.0,SWNI,CANA,
Caprimulgus inornatus,Plain Nightjar,TC003732,planig1,species,7998.1,PLNI,CAIN,
Caprimulgus stellatus,Star-spotted Nightjar,TC003733,stsnig1,species,7998.2,SSNI,CAST,
Caprimulgus solala,Nechisar Nightjar,TC003734,necnig1,species,7998.3,NENI,CASO,
Caprimulgus affinis,Savanna Nightjar,TC003735,savnig1,species,7998.4,SANI,CAAF,
Caprimulgus tristigma,Freckled Nightjar,TC003736,frenig1,species,8000.7,FRNI,CATR,
Caprimulgus concretus,Bonaparte's Nightjar,TC003737,bonnig1,species,8006.0,BONI,CACO,
Caprimulgus pulchellus,Salvadori's Nightjar,TC003738,salnig1,species,8007.0,SANI,CAPU,
Caprimulgus prigoginei,Itombwe Nightjar,TC003739,itonig1,species,8010.0,PRNI ITNI,CAPR,
Caprimulgus batesi,Bates's Nightjar,TC003741,batnig2,species,8011.0,BANI,CABA,
Caprimulgus climacurus,Long-tailed Nightjar,TC003742,lotnig1,species,8012.0,LTNI,CACL,
Caprimulgus clarus,Slender-tailed Nightjar,TC003743,sltnig1,species,8017.0,STNI,CACL,
Caprimulgus fossii,Square-tailed Nightjar,TC003744,sqtnig1,species,8018.0,STNI,CAFO,
Nyctibius grandis,Great Potoo,TC003755,grepot1,species,8025.0,,NYGR,GRPO
Nyctibius aethereus,Long-tailed Potoo,TC003756,lotpot1,species,8026.0,LTPO,NYAE,
Nyctibius griseus,Common Potoo,TC003757,compot1,species,8030.0,COPO,NYGR,CPOT
Nyctibius jamaicensis,Northern Potoo,TC003758,norpot1,species,8033.0,NOPO,NYJA,NORP
Nyctibius maculosus,Andean Potoo,TC003759,andpot1,species,8039.0,ANPO,NYMA,
Nyctibius leucopterus,White-winged Potoo,TC003760,whwpot1,species,8040.0,WWPO,NYLE,
Nyctibius bracteatus,Rufous Potoo,TC003761,rufpot1,species,8041.0,RUPO,NYBR,
Steatornis caripensis,Oilbird,TC003762,oilbir1,species,8042.0,,STCA,OILB
Cypseloides niger,Black Swift,TC003763,blkswi,species,8043.0,ABSW,CYNI,BLSW
Cypseloides lemosi,White-chested Swift,TC003767,whcswi2,species,8047.0,WCSW,CYLE,
Cypseloides rothschildi,Rothschild's Swift,TC003768,rotswi1,species,8048.0,ROSW,CYRO,
Cypseloides fumigatus,Sooty Swift,TC003769,sooswi1,species,8049.0,SOSW,CYFU,
Cypseloides storeri,White-fronted Swift,TC003770,whfswi1,species,8050.0,,CYST,WFSW
Cypseloides cryptus,White-chinned Swift,TC003771,whcswi1,species,8051.0,WCSW,CYCR,WCHS
Cypseloides cherriei,Spot-fronted Swift,TC003772,spfswi1,species,8052.0,,CYCH,SFSW
Cypseloides senex,Great Dusky Swift,TC003773,grdswi1,species,8053.0,GDSW,CYSE,
Streptoprocne rutila,Chestnut-collared Swift,TC003775,chcswi1,species,8055.0,,STRU,CCSW
Streptoprocne phelpsi,Tepui Swift,TC003776,tepswi1,species,8059.0,TESW,STPH,
Streptoprocne zonaris,White-collared Swift,TC003777,whcswi,species,8060.0,,STZO,WCSW
Streptoprocne semicollaris,White-naped Swift,TC003778,whnswi1,species,8070.0,,STSE,WNSW
Streptoprocne biscutata,Biscutate Swift,TC003779,bisswi1,species,8071.0,BISW,STBI,
Mearnsia picina,Philippine Needletail,TC003781,phinee1,species,8075.0,PHNE PSTS,MEPI,
Mearnsia novaeguineae,Papuan Spinetailed Swift,TC003782,papnee1,species,8076.0,PSSW PSTS,MENO,
Zoonavena grandidieri,Malagasy Spinetail,TC003783,malspi1,species,8079.0,MASP,ZOGR,
Zoonavena thomensis,Sao Tome Spinetail,TC003784,satspi1,species,8082.0,STSP,ZOTH,
Zoonavena sylvatica,White-rumped Needletail,TC003785,whrnee1,species,8083.0,WRNE WRSP,ZOSY,
Telacanthura ussheri,Mottled Spinetail,TC003786,motspi1,species,8084.0,MOSP,TEUS,
Telacanthura melanopygia,Black Spinetail,TC003787,blaspi1,species,8089.0,BLSP,TEME,
Rhaphidura leucopygialis,Silver-rumped Needletail,TC003788,sirnee1,species,8090.0,SRNE SRSP,RHLE,
Rhaphidura sabini,Sabine's Spinetail,TC003789,sabspi1,species,8091.0,SASP,RHSA,
Neafrapus cassini,Cassin's Spinetail,TC003790,casspi1,species,8092.0,CASP,NECA,
Neafrapus boehmi,Bat-like Spinetail,TC003791,balspi1,species,8093.0,BÖSP BLSP,NEBO,
Chaetura pelagica,Chimney Swift,TC003792,chiswi,species,8096.0,,CHPE,CHSW
Chaetura vauxi,Vaux's Swift,TC003793,vauswi,species,8097.0,,CHVA,VASW
Chaetura chapmani,Chapman's Swift,TC003799,chaswi1,species,8106.0,CHSW,CHCH,CHAS
Chaetura viridipennis,Amazonian Swift,TC003800,amaswi1,species,8107.0,AMSW MGSW,CHVI,
Chaetura meridionalis,Sick's Swift,TC003801,sicswi1,species,8108.0,,CHME,SISW
Chaetura brachyura,Short-tailed Swift,TC003802,shtswi1,species,8109.0,,CHBR,STSW
Chaetura spinicaudus,Band-rumped Swift,TC003805,barswi,species,8115.0,,CHSP,BRSW
Chaetura fumosa,Costa Rican Swift,TC003806,corswi,species,8120.0,,CHFU,CRSW
Chaetura cinereiventris,Gray-rumped Swift,TC003807,grrswi1,species,8121.0,,CHCI,GRSW
Chaetura egregia,Pale-rumped Swift,TC003810,parswi1,species,8130.0,PRSW,CHEG,
Chaetura martinica,Lesser Antillean Swift,TC003811,leaswi1,species,8131.0,,CHMA,LASW
Hirundapus caudacutus,White-throated Needletail,TC003813,whtnee,species,8133.0,,HICA,WTNE
Hirundapus cochinchinensis,Silver-backed Needletail,TC003814,sibnee1,species,8136.0,SBNE,HICO,
Hirundapus giganteus,Brown-backed Needletail,TC003815,brbnee1,species,8140.0,BBNE,HIGI,
Hirundapus celebensis,Purple Needletail,TC003816,purnee1,species,8143.0,PUNE,HICE,
Hydrochous gigas,Waterfall Swift,TC003818,watswi1,species,8145.0,GISW WASW,HYGI,
Collocalia esculenta,Glossy Swiftlet,TC003819,gloswi1,species,8146.0,GLSW,COES,
Collocalia linchi,Cave Swiftlet,TC012354,cavswi2,species,8179.0,CASW,COLI,
Collocalia dodgei,Bornean Swiftlet,TC012355,cavswi3,species,8184.0,BOSW,CODO,
Collocalia troglodytes,Pygmy Swiftlet,TC003821,pygswi2,species,8184.3,PYSW,COTR,
Aerodramus elaphrus,Seychelles Swiftlet,TC003822,seyswi1,species,8185.0,SESW,AEEL,
Aerodramus francicus,Mascarene Swiftlet,TC003823,masswi1,species,8186.0,MASW,AEFR,
Aerodramus unicolor,Indian Swiftlet,TC003824,indswi1,species,8187.0,INSW,AEUN,
Aerodramus sororum,Sulawesi Swiftlet,TC012648,molswi4,species,8189.0,SUSW,AESO,
Aerodramus infuscatus,Halmahera Swiftlet,TC012647,molswi3,species,8190.0,HASW,AEIN,
Aerodramus ceramensis,Seram Swiftlet,TC012646,molswi1,species,8191.0,SESW,AECE,
Aerodramus mearnsi,Philippine Swiftlet,TC003826,phiswi1,species,8192.0,PHSW,AEME,
Aerodramus hirundinaceus,Mountain Swiftlet,TC003827,mouswi2,species,8193.0,MOSW,AEHI,
Aerodramus spodiopygius,White-rumped Swiftlet,TC003828,whrswi2,species,8197.0,WRSW,AESP,
Aerodramus terraereginae,Australian Swiftlet,TC003829,ausswi1,species,8209.0,AUSW,AETE,
Aerodramus brevirostris,Himalayan Swiftlet,TC013493,himswi2,species,8212.0,HISW,AEBR,
Aerodramus vulcanorum,Volcano Swiftlet,TC003832,volswi1,species,8216.0,VOSW,AEVU,
Aerodramus whiteheadi,Whitehead's Swiftlet,TC003833,whiswi1,species,8217.0,WHSW,AEWH,
Aerodramus nuditarsus,Bare-legged Swiftlet,TC003834,balswi1,species,8220.0,BLSW,AENU,
Aerodramus orientalis,Mayr's Swiftlet,TC003835,mayswi1,species,8221.0,MASW,AEOR,
Aerodramus amelis,Ameline Swiftlet,TC003836,palswi2,species,8224.0,AMSW,AEAM,
Aerodramus vanikorensis,Uniform Swiftlet,TC003837,uniswi1,species,8225.0,UNSW,AEVA,
Aerodramus salangana,Mossy-nest Swiftlet,TC003838,monswi2,species,8239.0,MNSW,AESA,
Aerodramus pelewensis,Palau Swiftlet,TC003839,palswi1,species,8244.0,PASW,AEPE,
Aerodramus bartschi,Mariana Swiftlet,TC003840,marswi,species,8245.0,,AEBA,MASW
Aerodramus inquietus,Caroline Islands Swiftlet,TC003841,caiswi1,species,8246.0,ISSW CISW,AEIN,
Aerodramus sawtelli,Atiu Swiftlet,TC003842,atiswi1,species,8250.0,ATSW,AESA,
Aerodramus leucophaeus,Polynesian Swiftlet,TC003843,polswi1,species,8251.0,TASW POSW,AELE,
Aerodramus ocistus,Marquesan Swiftlet,TC003844,marswi2,species,8252.0,MASW,AEOC,
Aerodramus maximus,Black-nest Swiftlet,TC003845,blnswi1,species,8255.0,BNSW,AEMA,
Aerodramus fuciphagus,White-nest Swiftlet,TC003846,ednswi1,species,8259.0,WNSW ENSW,AEFU,
Aerodramus germani,Germain's Swiftlet,TC003847,gerswi1,species,8266.0,GESW,AEGE,
Aerodramus papuensis,Three-toed Swiftlet,TC003848,papswi1,species,8269.0,TTSW,AEPA,
Schoutedenapus myoptilus,Scarce Swift,TC003850,scaswi1,species,8271.0,SCSW,SCMY,
Schoutedenapus schoutedeni,Schouteden's Swift,TC003851,schswi1,species,8275.0,SCSW,SCSC,
Apus melba,Alpine Swift,TC003852,alpswi1,species,8276.0,,APME,ALSW
Apus aequatorialis,Mottled Swift,TC003853,motswi2,species,8287.0,MOSW,APAE,
Apus alexandri,Alexander's Swift,TC003854,aleswi1,species,8292.0,ALSW CVSW,APAL,
Apus apus,Common Swift,TC003855,comswi,species,8293.0,,APAP,COSW
Apus unicolor,Plain Swift,TC003856,plaswi1,species,8296.0,PLSW,APUN,
Apus niansae,Nyanza Swift,TC003857,nyaswi1,species,8297.0,NYSW,APNI,
Apus pallidus,Pallid Swift,TC003858,palswi3,species,8300.0,PASW,APPA,
Apus barbatus,African Swift,TC003859,afrswi1,species,8304.0,AFSW ABSW FPBS,APBA,
Apus berliozi,Forbes-Watson's Swift,TC003860,fowswi1,species,8312.0,FWSW,APBE,
Apus bradfieldi,Bradfield's Swift,TC003861,braswi1,species,8315.0,BRSW,APBR,
Apus balstoni,Madagascar Swift,TC003862,madswi1,species,8318.0,MBSW MASW,APBA,
Apus pacificus,Pacific Swift,TC003863,fotswi,species,8321.0,PASW,APPA,FTSW
Apus salimalii,Salim Ali's Swift,TC012739,saaswi1,species,8323.1,SASW,APSA,
Apus leuconyx,Blyth's Swift,TC012306,blyswi1,species,8324.0,BLSW,APLE,
Apus cooki,Cook's Swift,TC012413,cooswi1,species,8325.0,COSW,APCO,
Apus acuticauda,Dark-rumped Swift,TC003864,darswi1,species,8326.0,DRSW,APAC,
Apus affinis,Little Swift,TC003865,litswi1,species,8327.0,LISW,APAF,
Apus nipalensis,House Swift,TC003866,houswi1,species,8334.0,HOSW,APNI,
Apus horus,Horus Swift,TC003867,horswi1,species,8339.0,HOSW,APHO,
Apus caffer,White-rumped Swift,TC003868,whrswi1,species,8342.0,WRSW,APCA,
Apus batesi,Bates's Swift,TC003869,batswi1,species,8343.0,BASW,APBA,
Aeronautes saxatalis,White-throated Swift,TC003871,whtswi,species,8345.0,,AESA,WTSW
Aeronautes montivagus,White-tipped Swift,TC003872,whtswi1,species,8348.0,WTSW,AEMO,
Aeronautes andecolus,Andean Swift,TC003873,andswi1,species,8351.0,ANSW,AEAN,
